TEAM;DIV;GP;PT;RB;AS;ST;BS;2P%;3P%;FG%;FT%
Alba Berlin;A;6;76.0;33.2;15.7;14.2;3.5;47.1;27.4;38.1;67.4
Baskets Juniors Oldenburg;A;8;72.4;32.8;11.9;9.6;3.4;51.3;25.9;39.8;60.8
Baskets Paderborn;A;3;79.3;45.7;19.3;11.7;1.7;51.9;30.5;45.3;65.7
Bayer Giants Leverkusen;A;6;72.0;34.5;15.5;8.5;4.8;48.6;29.6;41.2;58.2
Berlin Braves Baskets;A;3;80.3;37.0;13.7;15.0;2.3;52.2;31.5;42.9;78.3
Eintracht Frankfurt;A;2;81.0;32.0;9.5;4.5;2.0;50.6;37.0;45.5;75.0
FC Bayern München;A;5;77.4;33.6;11.6;6.4;3.8;52.8;27.1;42.6;61.4
KICKZ IBAM;A;4;79.5;35.5;13.0;6.8;3.3;53.0;28.4;42.7;67.7
Medipolis SC Jena;A;3;77.3;29.7;15.0;10.7;4.0;55.2;35.7;46.1;55.4
Niners Chemnitz Academy;A;2;98.5;42.0;21.0;13.5;3.5;65.4;22.0;49.7;75.9
Porsche BBA Ludwigsburg;A;5;75.4;35.4;17.4;11.6;2.0;47.1;31.4;41.3;63.8
Sartorius Juniors;A;3;78.0;31.7;13.0;13.7;3.3;60.3;22.2;46.9;72.1
Team Urspring;A;4;76.5;30.8;18.8;7.8;0.8;51.0;32.2;43.8;72.4
Tornados Franken;A;3;81.0;36.3;17.7;11.0;4.3;52.6;33.0;42.5;60.9
UBC Münster;A;3;79.7;37.3;14.0;12.7;4.7;51.7;26.1;43.5;60.3
Young Rasta Dragons;A;8;68.8;29.0;12.9;9.4;3.1;46.4;28.0;39.9;70.7
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
