TEAM;DIV;GP;MP;PT;DR;OR;RB;AS;ST;BS;TO;PF;EF
Alba Berlin;A;14;201.8;76.4;25.7;11.4;37.1;16.4;10.2;2.5;23.4;20.8;73.4
ART Giants Düsseldorf;B;9;200.0;69.1;19.7;11.2;30.9;12.9;7.0;3.0;18.2;23.4;57.2
Bamberg freakcity academy;A;13;201.9;73.6;23.3;11.0;34.3;14.2;7.0;2.1;19.0;18.8;66.2
Basketball Löwen Erfurt;B;11;200.0;75.9;27.4;11.9;39.3;16.1;10.8;4.5;23.0;17.7;73.5
Baskets Juniors Oldenburg;A;14;200.0;79.6;25.1;14.4;39.5;16.1;13.2;2.9;16.6;23.6;87.1
Baskets Paderborn;A;14;200.0;75.1;22.1;10.2;32.4;19.7;11.5;4.1;20.1;19.1;82.4
Bayer Giants Leverkusen;A;14;201.8;76.9;24.6;13.7;38.3;13.4;11.6;4.0;21.2;22.1;70.6
BBA Giants Kornwestheim;B;10;200.0;68.1;21.0;13.7;34.7;12.3;11.2;2.4;22.2;17.0;59.8
BBA Hagen;B;8;200.0;67.5;21.8;14.1;35.9;10.8;7.9;2.0;18.8;19.8;53.9
Berlin Braves Baskets;B;13;200.0;77.5;24.4;11.2;35.6;17.4;13.5;2.7;15.8;17.2;83.7
Dresden Titans;B;10;200.0;62.2;22.5;12.8;35.3;11.8;7.9;3.8;23.7;18.7;50.8
Eintracht Frankfurt;B;13;201.9;80.7;26.6;14.6;41.2;14.7;12.6;2.5;17.5;18.3;84.8
Eisbären Bremerhaven;A;13;200.0;62.5;23.8;9.5;33.3;12.3;9.8;3.8;27.6;18.1;51.0
FC Bayern München;A;13;200.0;81.7;22.2;11.1;33.3;14.2;11.0;2.5;18.2;21.2;79.5
HAKRO Merlins Crailsheim;B;10;200.0;55.6;23.4;8.1;31.5;13.0;11.7;2.5;26.9;15.9;46.7
Hamburg Towers;A;14;200.0;74.0;22.7;11.6;34.4;12.4;11.9;1.9;18.6;21.2;69.4
KICKZ IBAM;A;14;200.0;82.1;25.1;11.9;37.0;15.4;9.9;3.7;15.2;20.8;89.7
Medipolis SC Jena;A;14;200.0;84.1;24.0;12.7;36.7;18.8;11.3;2.5;19.9;19.4;89.9
Metropol Baskets Ruhr;B;8;200.0;88.3;24.6;13.4;38.0;19.1;10.8;4.4;21.4;22.5;96.6
Niners Chemnitz Academy;A;13;200.0;76.8;20.3;9.2;29.5;12.0;7.9;1.3;17.8;20.4;69.8
Orange Academy;B;9;200.0;69.2;25.7;11.9;37.6;14.8;9.0;7.2;18.8;17.1;72.8
Phoenix Hagen;B;9;202.8;71.0;23.4;8.8;32.2;9.8;6.8;2.9;18.1;17.9;60.3
Porsche BBA Ludwigsburg;A;14;200.0;85.1;24.8;13.6;38.4;19.6;12.4;4.7;16.5;19.3;97.3
ratiopharm Ulm;B;11;200.0;86.7;24.2;14.2;38.4;17.7;13.3;3.8;15.9;18.7;98.7
RheinStars Köln;B;10;202.5;82.0;24.4;14.0;38.4;17.5;8.6;2.6;15.0;18.9;87.1
Rostock Seawolves;B;10;200.0;77.6;23.9;11.3;35.2;13.4;8.0;2.0;19.7;18.7;69.7
ROTH Energie BBA GIESSEN 46ers;A;14;201.8;74.7;20.9;11.9;32.7;12.5;8.6;1.6;18.6;22.1;64.1
Sartorius Juniors;B;11;202.3;91.7;25.7;15.3;41.0;19.0;11.5;2.6;16.8;20.0;100.7
SG Junior Löwen Braunschweig;B;10;202.5;80.4;24.1;11.3;35.4;13.0;10.8;3.9;18.8;19.0;81.3
Team Bonn/Rhöndorf;B;13;200.0;86.3;25.7;13.6;39.3;13.2;10.5;2.9;18.7;22.9;86.5
Team Südhessen;B;10;200.0;70.0;21.9;9.2;31.1;12.1;12.7;2.6;19.7;20.4;60.9
Team Urspring;A;13;200.0;77.5;22.3;13.8;36.1;17.4;10.5;2.3;17.9;22.5;81.6
TG Hanau;B;10;200.0;70.2;21.5;10.1;31.6;11.6;7.6;2.5;19.6;19.0;58.4
Tornados Franken;B;13;201.9;85.8;23.8;14.4;38.2;18.0;11.8;2.6;18.5;18.3;89.9
TS Jahn München;B;10;200.0;68.9;23.6;12.7;36.3;15.4;11.8;2.5;18.4;17.4;67.0
UBC Münster;A;13;201.9;79.7;24.5;10.9;35.4;13.2;9.9;2.7;17.9;19.9;75.7
USC Heidelberg;B;10;200.0;79.2;25.2;13.1;38.3;12.6;11.1;2.4;21.0;20.0;74.3
VfL Kirchheim Knights;B;14;200.0;73.5;24.4;12.6;37.0;17.5;7.9;2.7;17.6;18.6;75.1
Würzburg Baskets Akademie;B;10;200.0;84.3;27.3;12.7;40.0;15.1;6.9;3.3;22.6;19.1;84.8
Young Rasta Dragons;A;14;201.8;80.4;21.8;13.3;35.1;13.9;12.6;2.8;18.7;18.9;81.1
