TEAM;DIV;GP;2PM;2PA;2P%;3PM;3PA;3P%;FGM;FGA;FG%;FTM;FTA;FT%
Alba Berlin;A;14;318;661;48.1;71;263;27.0;389;924;42.1;221;329;67.2
ART Giants Düsseldorf;B;9;159;346;46.0;62;236;26.3;221;582;38.0;118;184;64.1
Bamberg freakcity academy;A;13;262;532;49.2;83;289;28.7;345;821;42.0;184;306;60.1
Basketball Löwen Erfurt;B;11;199;464;42.9;82;280;29.3;281;744;37.8;191;279;68.5
Baskets Juniors Oldenburg;A;14;307;628;48.9;98;327;30.0;405;955;42.4;207;325;63.7
Baskets Paderborn;A;14;287;562;51.1;96;294;32.7;383;856;44.7;189;280;67.5
Bayer Giants Leverkusen;A;14;306;622;49.2;86;335;25.7;392;957;41.0;207;375;55.2
BBA Giants Kornwestheim;B;10;162;334;48.5;76;282;27.0;238;616;38.6;129;218;59.2
BBA Hagen;B;8;159;376;42.3;36;157;22.9;195;533;36.6;114;187;61.0
Berlin Braves Baskets;B;13;320;650;49.2;69;280;24.6;389;930;41.8;161;235;68.5
Dresden Titans;B;10;176;362;48.6;48;236;20.3;224;598;37.5;126;217;58.1
Eintracht Frankfurt;B;13;288;555;51.9;98;359;27.3;386;914;42.2;179;293;61.1
Eisbären Bremerhaven;A;13;239;524;45.6;60;248;24.2;299;772;38.7;154;241;63.9
FC Bayern München;A;13;284;556;51.1;86;309;27.8;370;865;42.8;236;327;72.2
HAKRO Merlins Crailsheim;B;10;165;364;45.3;35;177;19.8;200;541;37.0;121;187;64.7
Hamburg Towers;A;14;272;559;48.7;96;364;26.4;368;923;39.9;204;302;67.5
KICKZ IBAM;A;14;315;591;53.3;104;337;30.9;419;928;45.2;208;304;68.4
Medipolis SC Jena;A;14;304;577;52.7;105;321;32.7;409;898;45.5;255;378;67.5
Metropol Baskets Ruhr;B;8;238;394;60.4;41;172;23.8;279;566;49.3;107;160;66.9
Niners Chemnitz Academy;A;13;271;490;55.3;81;284;28.5;352;774;45.5;214;311;68.8
Orange Academy;B;9;201;416;48.3;40;166;24.1;241;582;41.4;101;176;57.4
Phoenix Hagen;B;9;186;374;49.7;46;200;23.0;232;574;40.4;129;185;69.7
Porsche BBA Ludwigsburg;A;14;306;582;52.6;133;413;32.2;439;995;44.1;180;275;65.5
ratiopharm Ulm;B;11;298;530;56.2;69;263;26.2;367;793;46.3;151;223;67.7
RheinStars Köln;B;10;204;419;48.7;86;273;31.5;290;692;41.9;154;222;69.4
Rostock Seawolves;B;10;179;369;48.5;101;325;31.1;280;694;40.3;115;169;68.0
ROTH Energie BBA GIESSEN 46ers;A;14;309;649;47.6;64;256;25.0;373;905;41.2;236;368;64.1
Sartorius Juniors;B;11;254;479;53.0;103;331;31.1;357;810;44.1;192;270;71.1
SG Junior Löwen Braunschweig;B;10;268;494;54.3;55;203;27.1;323;697;46.3;103;163;63.2
Team Bonn/Rhöndorf;B;13;303;555;54.6;91;346;26.3;394;901;43.7;243;347;70.0
Team Südhessen;B;10;232;486;47.7;47;199;23.6;279;685;40.7;95;168;56.5
Team Urspring;A;13;268;510;52.5;101;341;29.6;369;851;43.4;168;260;64.6
TG Hanau;B;10;212;438;48.4;54;204;26.5;266;642;41.4;116;195;59.5
Tornados Franken;B;13;305;545;56.0;110;392;28.1;415;937;44.3;175;277;63.2
TS Jahn München;B;10;159;361;44.0;85;302;28.1;244;663;36.8;116;192;60.4
UBC Münster;A;13;311;571;54.5;71;305;23.3;382;876;43.6;201;321;62.6
USC Heidelberg;B;10;213;437;48.7;78;262;29.8;291;699;41.6;132;207;63.8
VfL Kirchheim Knights;B;14;283;579;48.9;110;374;29.4;393;953;41.2;133;216;61.6
Würzburg Baskets Akademie;B;10;252;460;54.8;58;186;31.2;310;646;48.0;165;251;65.7
Young Rasta Dragons;A;14;276;543;50.8;120;406;29.6;396;949;41.7;213;290;73.4
