Player;Rebounds
Johann Grünloh;11.5
Lukas Modic;9.0
Luka Pesic;8.0
Desmond Yiamu;8.0
Moek Icke;8.0
Jack Kayil;7.5
Linus Trettin;7.0
Miran Evin;7.0
Abdulhay Kömürkara;7.0
Karl Bühner;6.5
Ivan Kharchenkov;6.0
Martin Kalu;5.0
Colin Schroeder;5.0
Igor Jokic;4.5
Sebastian Schwachhofer;4.0
Ivan Volf;4.0
Joshua Bonga;4.0
Leander Nzume;4.0
Simon Kohlhoff;3.5
Marko Petric;3.5
Tim Nocke;3.5
Nikolas Sermpezis;3.0
Johannes Hellmann;3.0
Noah Slingerland;3.0
Jarne Jürgens;3.0
Matteo Petters;3.0
Esli Edigin;3.0
Stanislav Hinkov;2.0
Dominik Dolic;2.0
Michel Schillmöller;1.5
Johann Helwig;1.5
Djairo Bernardina;1.0
Noah Koch;1.0
Marko Masic;1.0
Lazar Klaric;0.5
Elias Nold;0.5
Moritz Grüß;0.0
Bennett Spree;0.0
Jannis Grußendorf;0.0
Sebastian Kuhn;0.0
Julis Baumer;0.0
Ben Denkena;0.0
